scenario_id,building_id,building_type,anomaly_type,anomaly_subtype,scenario_name,start_time,duration_steps,duration_hours,trigger_field,trigger_condition,trigger_value,reference_normal_value,severity,is_continuous,sequence_id,equipment_id,data_exists_in_round1,round1_case_id,description,recommended_for_demo,diagnosis_guide_ref,upgrade_priority
SC-001,BLD-C,library,A,off_hours_high_consumption,图书馆深夜高电耗,2026-01-01 21:00,1,3,electricity_kwh,>建筑×小时均值+2σ,402.01,338.9,medium,false,,CT-C-03,true,R00024,2026-01-01 21:00图书馆单点异常，electricity=402.01kWh，COP=2.34且设备状态异常，true,类型A+B,high
SC-002,BLD-A,teaching,A,off_hours_high_consumption,教学楼凌晨异常启动,2026-01-01 00:00,1,3,equipment_status,abnormal,306.37,263.4,medium,false,,AHU-A-01,true,R00001,教学楼00:00时段被标记为abnormal，典型非工时异常启动场景，true,类型A,high
SC-003,BLD-D,lab,C,peak_overload,实验楼极端峰值,2026-05-24 15:00,1,3,electricity_kwh,>建筑×小时均值+2σ,690.04,410.5,critical,false,,FCU-D-04,true,R04606,全库最高电耗记录690.04kWh，发生在实验楼5月高温下午高峰时段，true,类型C,high
SC-004,BLD-C,library,B,low_cop,低COP连续告警扩展场景,2026-03-10 09:00,5,15,cop,<2.2,2.10,2.99,high,true,SEQ-001,CT-C-03,false,,扩展演示场景：连续5个时间步COP低于告警阈值2.2，冷却塔填料疑似堵塞；当前主CSV暂无真实低COP触发序列，true,类型B,high
SC-005,BLD-D,lab,A,off_hours_high_consumption,实验楼夜间持续高耗（连续异常）,2026-03-20 18:00,5,15,electricity_kwh,>建筑×小时均值+2σ,430.0,410.5,high,true,SEQ-002,FCU-D-04,false,,实验楼连续5步非工时高电耗，18:00-翌日09:00，实验设备未正常关停，true,类型A,high
SC-006,BLD-A,teaching,C,peak_overload,教学楼白天持续过载（连续异常）,2026-03-25 06:00,4,12,electricity_kwh,>建筑×小时均值+2σ,380.0,263.4,high,true,SEQ-003,AHU-A-01,false,,教学楼06:00-18:00连续4步电耗接近高阈值，可能与大型活动/考试相关，true,类型C,medium
SC-007,BLD-B,office,D,sensor_fault,办公楼冷冻水温差异常,2026-03-15 09:00,1,3,delta_t,<3.0,1.8,4.5,medium,false,,CH-B-02,false,,冷冻水供回温差ΔT=1.8°C(正常4-6°C)，典型小温差大流量，阀门开度可能过大，false,类型D,medium
SC-008,BLD-A,teaching,B,low_cop,教学楼COP告警（单点扩展）,2026-03-18 15:00,1,3,cop,<2.2,2.10,2.99,medium,false,,AHU-A-01,false,,扩展场景：教学楼下午时段COP低于2.2告警线，可能因气温高导致制冷负荷骤增，false,类型B,medium
SC-009,BLD-C,library,A,off_hours_high_consumption,图书馆周末夜间高耗（节假日场景）,2026-03-22 21:00,2,6,electricity_kwh,>建筑均值,360.0,338.9,low,false,,CT-C-03,false,,周末夜间（21:00-00:00）图书馆自习区仍有较高能耗，HVAC未按节假日模式调低，false,类型A,medium
SC-010,BLD-D,lab,B,low_cop_and_high_consumption,实验楼COP低且电耗高（复合异常）,2026-03-28 14:00,1,3,cop+electricity_kwh,cop<2.2且electricity>建筑×小时均值+2σ,cop=2.10+elec=520.0,410.5,critical,false,,FCU-D-04,false,,复合型扩展异常：COP低于阈值同时电耗极高，FCU-D-04风机盘管效率严重下降，需立即检修，true,类型B+C,high
SC-011,BLD-B,office,A,holiday_no_setback,节假日未降温（节假日场景）,2026-04-04 09:00,3,9,occupancy_density_per_100m2+electricity_kwh,人员密度<0.3但electricity>均值70%,elec=210.0+density=0.1,235.2,low,false,,CH-B-02,false,,清明节（2026-04-04）办公楼人员密度低但HVAC未切换节假日模式，节能潜力明显，false,类型A,medium
SC-012,BLD-C,library,D,chilled_water_temp_anomaly,图书馆冷冻水回水温度偏高,2026-03-12 14:00,1,3,chilled_water_return_temp_c,>15.0,16.2,13.5,medium,false,,CT-C-03,false,,冷冻水回水温度16.2°C高于正常上限，供回温差过大(ΔT=7.5°C)，提示冷量供给不足，false,类型D,low
